ข้อที่,คำถาม,1,2,3,4,เฉลย,เฉลย,เฉลย
29,ข้อใดต่อไปนี้ไม่ใช่อาการป่วยของผู้เป็นความดันโลหิตสูง,ปวดศรีษะ เวียนหัว มึนงง ตาพร่า,"คลื่นไส้ ใจสั่น ช่วงตื่นนอนหรือตอนเช้า ถ้าเป็น
มากปวดบริเวณท้ายทอย",เพลีย เหนื่อยง่าย ช่วงตื่นนอนหรือตอนเช้า,"ท้องผูก ขับถ่ายอุจจาระด้วยความลำบาก ต้องเบ่งและใช้แรงดัน
ให้ขับถ่ายอุจจาระออกมาหากเป็นเรื้อรัง เบ่งหรือดันอุจจาระอย่าง
ลำบาก จะมีเลือดออกตามมา",4,อาการดังกล่าว ไม่ใช่อาการป่วยของผู้เป็นความดันโลหิตสูง แต่เป็นอาการของผู้ป่วยด้วยโรคริดสีดวงทวานหนัก,ตอบ 4. อาการดังกล่าว ไม่ใช่อาการป่วยของผู้เป็นความดันโลหิตสูง แต่เป็นอาการของผู้ป่วยด้วยโรคริดสีดวงทวานหนัก
30,ข้อใดเป็นสัญญาณของการเป็นโรคความดันโลหิตสูง,"ความดันโลหิตขณะหัวใจบีบที่ 110 mmHg/ความดันโลหิตขณะ
หัวใจคลายตัวอยู่ที่ 60 mmHg","1. ความดันโลหิตขณะหัวใจบีบที่ 120 mmHg/ความดันโลหิตขณะ
หัวใจคลายตัวอยู่ที่ 70 mmHg","1. ความดันโลหิตขณะหัวใจบีบที่ 130 mmHg/ความดันโลหิตขณะ
หัวใจคลายตัวอยู่ที่ 80 mmHg","1. ความดันโลหิตขณะหัวใจบีบที่ 140 mmHg/ความดันโลหิตขณะ
หัวใจคลายตัวอยู่ที่ 90 mmHg",4,"คำตอบที่ถูกต้องคือความดันโลหิตขณะหัวใจบีบที่ 140 mmHg/ความดันโลหิตขณะหัวใจคลายตัวอยู่ที่ 90 mmHg
กล่าวคือ ค่าความดันโลหิตที่เหมาะสมโดยทั่วไปคือน้อยกว่า 140/90 mmHg","ตอบ 4. คำตอบที่ถูกต้องคือความดันโลหิตขณะหัวใจบีบที่ 140 mmHg/ความดันโลหิตขณะหัวใจคลายตัวอยู่ที่ 90 mmHg
กล่าวคือ ค่าความดันโลหิตที่เหมาะสมโดยทั่วไปคือน้อยกว่า 140/90 mmHg"
31,อาหารประเภทใดเหมาะสำหรับผู้เป็นโรคความดันโลหิตสูง,อาหารที่มีรสเค็ม,อาหารหมักดอง,อาหารที่มีไขมันอิ่มตัว,อาหารที่มีแคลเซียม,4,"อาหารที่เหมาะสำหรับผู้ที่เป็นโครความดันโลหิตสูง ก็คืออาหารที่มีแคลเซียม ส่วนอาหารที่มีสรเค็ม อาหารที่มี
ไขมันอิ่มตัว อาหารหมักดองนั้น ถือว่าเป็นอันตรายต่อผ็เป็นโรคความดันโลหิตสูงอย่างมาก","ตอบ 4. อาหารที่เหมาะสำหรับผู้ที่เป็นโครความดันโลหิตสูง ก็คืออาหารที่มีแคลเซียม ส่วนอาหารที่มีสรเค็ม อาหารที่มี
ไขมันอิ่มตัว อาหารหมักดองนั้น ถือว่าเป็นอันตรายต่อผ็เป็นโรคความดันโลหิตสูงอย่างมาก"
32,ผลไม้ประเภทใดที่เหมาะสำหรับผู้เป็นโรคความดันโลหิตสูง,กล้วย,ส้ม,องุ่น,ถูกทุกข้อ,4,ทั้งกล้วย ส้ม องุ่น ได้ผ่านงานวิจัยทางการแพทย์ออกมาแล้วว่าเหมาะสำหรับผู้เป็นโรคความดันโลหิตสูง,ตอบ 4. ทั้งกล้วย ส้ม องุ่น ได้ผ่านงานวิจัยทางการแพทย์ออกมาแล้วว่าเหมาะสำหรับผู้เป็นโรคความดันโลหิตสูง
33,"อาหารประเภทใดให้แคลเซียมและแมกนีเซียมในปริมาณที่สูงมาก และเหมาะกับ
ผู้ที่เป็นโรคความดันโลหิตสูง",กุ้งแห้ง,ปลากรอบ,นม,ถูกทุกข้อ,4,"ทั้งกุ้งแห้ง ปลากรอบ และนม ต่างก็เป็นอาหารที่ให้แคลเซียมและแมกนีเซียมสูง จึงเหมาะกับผู้ที่เป็นโรคความ
ดันโลหิตสูง","ตอบ 4. ทั้งกุ้งแห้ง ปลากรอบ และนม ต่างก็เป็นอาหารที่ให้แคลเซียมและแมกนีเซียมสูง จึงเหมาะกับผู้ที่เป็นโรคความ
ดันโลหิตสูง"
34,ข้อใดตคือภาวะแทรกซ้อนของโรคควมดันโลหิตสูง,เส้นเลือดในสมองแตก,ไตวาย,หัวใจล้มเหลว,ถูกทุกข้อ,4, ทุกข้อคือภาวะแทรกซ้อนที่เกิดขึ้นได้กับผู้เป็นโรคความดันโลหิตสูง,ตอบ 4.  ทุกข้อคือภาวะแทรกซ้อนที่เกิดขึ้นได้กับผู้เป็นโรคความดันโลหิตสูง
35,ผู้ที่มีร่างกายแข็งแรงควรเล่นกีฬาหรือออกกำลังกายวันละกี่นาที จึงจะเหมาะสม,10-15 นาที,15-20 นาที,30-45 นาที,45-60 นาที,3,"บุคคลทั่วไปไม่ว่าชายหรือหญิง ที่มีความสมบูรณ์แข็งแรง ไม่เจ็บป่วย และไม่เป็นโรคประจำตัว ที่การออก
กำลังกายจะทำให้เกิดความเสี่ยง การออกกำลังกายวัยละ 30 - 45 นาที คือระยะเวลาที่เหมาะสม","ตอบ 3. บุคคลทั่วไปไม่ว่าชายหรือหญิง ที่มีความสมบูรณ์แข็งแรง ไม่เจ็บป่วย และไม่เป็นโรคประจำตัว ที่การออก
กำลังกายจะทำให้เกิดความเสี่ยง การออกกำลังกายวัยละ 30 - 45 นาที คือระยะเวลาที่เหมาะสม"
36,ข้อใดเป็นวิธีการใช้ยาอย่างถูกต้อง,รับประทานยาตามแพทย์สั่งอย่างเคร่งครัด,ปรับปรุงการดำเนินชีวิตตามคำแนะนำของแพทย์หรือเภสัชกร,ปรึกษาแพทย์หรือเภสัชกรหากสงสัยในเรื่องการใช้ยา,ถูกทุกข้อ,4, ถูกทุกข้อ คือวิธีรับประทานยาอย่างถูกต้อง และมีความสำคัญเท่าๆกัน,ตอบ 4.  ถูกทุกข้อ คือวิธีรับประทานยาอย่างถูกต้อง และมีความสำคัญเท่าๆกัน
37,อาหารในข้อใดต่อไปนี้ มีคอเลสเตอรอลสูง,ไข่แดง,ปลาหมึก,กุ้ง,ถูกทุกข้อ,4,ทั้งไข่แดง ปลาหมึก กุ้ง ต่างก็เป็นอาหารที่มีคอเลสเตอรอลสูงทั้งนั้น,ตอบ 4. ทั้งไข่แดง ปลาหมึก กุ้ง ต่างก็เป็นอาหารที่มีคอเลสเตอรอลสูงทั้งนั้น
38,โรคมือเท้าปากในเด็กเล็ก มีสาเหตุมาจากการที่เด็กเล็กติดเชื้อประเภทใด,เชื่อไวรัส,เชื่อบักเตรี,เชื้อแบคทีเรีย,เชื้อปรสิต,1,โรคมือเท้าปากในเด็กเล็ก มีสาเหตุมาจากการที่เด็กเล็กติดเชื้อไวรัสในกลุ่มเอนเทอโรไวรัส,ตอบ 1. โรคมือเท้าปากในเด็กเล็ก มีสาเหตุมาจากการที่เด็กเล็กติดเชื้อไวรัสในกลุ่มเอนเทอโรไวรัส
39,ข้อใดคือยาเสพติดประเภทที่ 1 ,เฮโรอีน ยาบ้า,มอร์ฟีน โคเคน,ตำรับยาทั้งชนิดเม็ดและชนิดน้ำ,สารเคมีที่นำมาใช้ในการผลิตยาเสพติดให้โทษ,1,"พระราชบัญญัติยาเสพติดให้โทษ พุทธศักราช 2522 จัดให้เฮโรอีน ยาห้า เป็นยาเสพติด ประเภทที่ 1 
ซึ่งมีโทษร้ายแรงมากที่สุด","ตอบ 1. พระราชบัญญัติยาเสพติดให้โทษ พุทธศักราช 2522 จัดให้เฮโรอีน ยาห้า เป็นยาเสพติด ประเภทที่ 1 
ซึ่งมีโทษร้ายแรงมากที่สุด"
