ข้อที่,คำถาม,1,2,3,4,เฉลย,เฉลย,เฉลย,,,,,,,,,
11,ในการแสดงตนเป็นพุทธมามกะ ใครเป็นผู้ประกอบพิธีให้,ผู้อาวุโสในชุมชน,คณะครู - อาจารย์ในโรงเรียน,ผู้ปกครองนักเรียน,พระสงฆ์,4,"ระสงฆ์  เพราะในพิธีการแสดงตนเป็นถพุทธมามกะโดยทั่วไปจะทำในโบสถ์และมีพระสงฆ์เป็น
ผู้ประกอบพิธีให้","ตอบ 4 พระสงฆ์  เพราะในพิธีการแสดงตนเป็นถพุทธมามกะโดยทั่วไปจะทำในโบสถ์และมีพระสงฆ์เป็น
ผู้ประกอบพิธีให้",,,,,,,,,
12,เฮโรอีน ในกฏหมายเกี่ยวกับยาเสพติดห็โทษ จัดเป็นยาเสพติดประเภทใด,ยาเสพติดประเภทที่ 1,ยาเสพติดประเภทที่ 2,ยาเสพติดประเภทที่ 3,ยาเสพติดประเภทที่ 4,1," ยาเสพติดประเภทที่ 1 เพราะพระราชบัญญัติยาเสพติดให้โทษ พุทธศักราช 2522 จัดให้เฮโรอีน
ยาบ้า เป็นยาเสพติดประเภทที่ 1 ซึ่งมีโทษร้ายแรงที่สุด","ตอบ 1.  ยาเสพติดประเภทที่ 1 เพราะพระราชบัญญัติยาเสพติดให้โทษ พุทธศักราช 2522 จัดให้เฮโรอีน
ยาบ้า เป็นยาเสพติดประเภทที่ 1 ซึ่งมีโทษร้ายแรงที่สุด",,,,,,,,,
13,วัฒนธรรมไทยที่แสดงออกถึงความเป็นไทยได้ดีที่สุดคือข้อใด,อาหารไทย,การแต่งกายุดไทย,การสื่อสารด้วยภาษาไทย,การไหว้ตามธรรมเนียมไทย,3,"การสื่อสารด้วยภาษาไทย เพราะภาษาไทยเป็นวัฒนธรรมของไทยที่เป็นเอกลักษณ์ และ
แตกต่างจากชนชาติอื่นมากที่สุด","ตอบ 3. การสื่อสารด้วยภาษาไทย เพราะภาษาไทยเป็นวัฒนธรรมของไทยที่เป็นเอกลักษณ์ และ
แตกต่างจากชนชาติอื่นมากที่สุด",,,,,,,,,
14,วัฒนธรรมของภาคใดที่ไม่มีความคล้ายคลึงกัน,ภาคกลางและภาคตะวันตก,ภาคกลางและภาคตะวันออก,ภาคตะวันตกและภาคตะวันออก,ภาคตะวันตกและภาคใต้,4,"ภาคตะวันตกและภาคใต้ เพราะประชาชนในภาคกลาง ภาคตะวันออก และภาคตะวันตกจะมี
วัฒนธรรมที่คล้ายคลึงกัน คือการรับประทานข้าวเป็นอาหารหลัก สื่อสารกันโดยภาษาไทยเป็นต้น","ตอบ 4. ภาคตะวันตกและภาคใต้ เพราะประชาชนในภาคกลาง ภาคตะวันออก และภาคตะวันตกจะมี
วัฒนธรรมที่คล้ายคลึงกัน คือการรับประทานข้าวเป็นอาหารหลัก สื่อสารกันโดยภาษาไทยเป็นต้น",,,,,,,,,
15,การประเคนของแด่พระสงฆ์ที่ยกด้วยมือทั้งสองอยู่ห่างจากพระสงฆ์ในระยะหัตถบาสเป็นการส่งของให้พระภิกษุสงฆ์ของใคร,ภิกษุณี,สามเณร,ผู้ชาย,ผู้หญิง,3,"ผู้ชายเพราะผู้ชายจะประเคนของให้พระด้วยการยกของทั้งสองมือ อยู่ห่างจากพระสงฆ์ระยะหัตถบาสหรือประ
มาณ 1 ศอก แล้วยกของประเตนในลักษณะมือต่อมือกับพระสงฆ์","ตอบ 3. ผู้ชายเพราะผู้ชายจะประเคนของให้พระด้วยการยกของทั้งสองมือ อยู่ห่างจากพระสงฆ์ระยะหัตถบาสหรือประ
มาณ 1 ศอก แล้วยกของประเตนในลักษณะมือต่อมือกับพระสงฆ์",,,,,,,,,
16,กิจกรรมใดที่มีส่วนส่งเสริมประชาธิปไตยในท้องถิ่นมากที่สุด,การสร้างเครือข่ายให้ความรู้แก่ประชาชน,การติดตั้งข่าวสารเกี่ยวกับการเลือกตั้ง,การติดป้ายโฆษณาเกี่ยวกับการเลือดตั้ง,การเกณฑ์ประชาชนให้มาฟังการหาเสียงเลือกตั้ง,1," การสร้างเครือข่ายให้ความรู้แก่ประชาชน  เพราะกิจกรรมการส่งเสริมประชาธิปไตยที่เข้าถึง
ประชาชนและได้ผลดี  คือ การสร้างเครือข่างให้ความรู้แก่ประชาชนในเรื่องประชาธิปไตยที่ถูกต้อง","ตอบ 1.  การสร้างเครือข่ายให้ความรู้แก่ประชาชน  เพราะกิจกรรมการส่งเสริมประชาธิปไตยที่เข้าถึง
ประชาชนและได้ผลดี  คือ การสร้างเครือข่างให้ความรู้แก่ประชาชนในเรื่องประชาธิปไตยที่ถูกต้อง",,,,,,,,,
17,ใครที่ถือเป็นผู้ผลิตที่มีความรับผิดชอบต่อสิ่งแวดล้อมมากที่สุด,ผู้ที่ผลิตสินค้าโดยใช้วัตถุดิบในท้องถิ่น,ผู้ผลิตสินค้าที่ต้นทุ่นต่ำ,ผู้ผิตสินค้าที่เป็นมิตรต่อสิ่งแวดล้อม,ผู้ผลิตสินค้าที่มีคุณภาพ,3," ผู้ผลิตสินค้าที่เป็นมิตรต่อสิ่งแวดล้อม เพราะผู้ผลิตที่มีความรับผิดชอบต่อสิ่งแวดล้อมต้องผลิตสินค้าโดย
ไม่ก่อให้เกิดภาวะอากศเป็นพิษ เสียงเป็นพิษ  เป็นต้น","ตอบ 3.  ผู้ผลิตสินค้าที่เป็นมิตรต่อสิ่งแวดล้อม เพราะผู้ผลิตที่มีความรับผิดชอบต่อสิ่งแวดล้อมต้องผลิตสินค้าโดย
ไม่ก่อให้เกิดภาวะอากศเป็นพิษ เสียงเป็นพิษ  เป็นต้น",,,,,,,,,
18,คุณสมบัติของผู้บริโภคที่ดี การเลือกซื้อสินค้าต้องมีความเหมาะสมกับสิ่งใด,เหมาะสมกับฐานะของครอบครัว,เหมาะสมกับตำแหน่งหน้าที่ของตน,เหมาะสมกับรายได้ของตนเอง,เหมาะสมกับรสนิยมของตนเอง,3,"เหมาะสมกับรายได้ของตนเองเพราะในการซื้อสินค้าและบริการ ผู้บริโภคที่ดีต้องมีวินัยในการใช้จ่ายโดย
ไม่ใช้จ่ายเงินเกินตัวจนนำไปสู่การเกิดภาวะหนึ้สินรุงรัง โดยการซื้อสินค้าที่มีราคาเป็นธรรมและเหมาะสมกับรายได้ของตน","ตอบ 3. เหมาะสมกับรายได้ของตนเองเพราะในการซื้อสินค้าและบริการ ผู้บริโภคที่ดีต้องมีวินัยในการใช้จ่ายโดย
ไม่ใช้จ่ายเงินเกินตัวจนนำไปสู่การเกิดภาวะหนึ้สินรุงรัง โดยการซื้อสินค้าที่มีราคาเป็นธรรมและเหมาะสมกับรายได้ของตน",,,,,,,,,
19,สินค้าและบริการประเภทใดที่มีส่วนในการทำลายสิ่งแวดล้อมซึ่งผู้บริโภคที่ดีควรหลีกเลี่ยงมากที่สุด,การท่องเที่ยว,การซื้อไม้แปรรูป,อุตสาหกรรมในครัวเรือน,สินค้าหนึ่งตำบลหนึ่งผลิตภัณฑ์ (โอท็อป),2," การซื้อไม้แปรรูป  เพราะสินค้าไม้แปรรูป เป็นผลผลิตที่ได้มาจากการตัวโค่นต้นไม้ในป่าแล้วนำมาแปรรูป
เพื่อนำไปเป็นวัสดุก่อสร้างต่างๆ ซึ่งจัดเป็นสินค้าที่ส่วนทำลายสิ่งแวดล้อมเนื่องจากต้นไม้เป็นส่วนหนึ่งของระบบ
นิเวศวิทยา ช่วยดูดซับก๊าชพิษ และทำให้ภูมิอากาศไมแปรปรวน การตัดไม้จะทำให้ระบบนิเวศเปลี่ยนไป อากาศแปรปรวน","ตอบ 2.  การซื้อไม้แปรรูป  เพราะสินค้าไม้แปรรูป เป็นผลผลิตที่ได้มาจากการตัวโค่นต้นไม้ในป่าแล้วนำมาแปรรูป
เพื่อนำไปเป็นวัสดุก่อสร้างต่างๆ ซึ่งจัดเป็นสินค้าที่ส่วนทำลายสิ่งแวดล้อมเนื่องจากต้นไม้เป็นส่วนหนึ่งของระบบ
นิเวศวิทยา ช่วยดูดซับก๊าชพิษ และทำให้ภูมิอากาศไมแปรปรวน การตัดไม้จะทำให้ระบบนิเวศเปลี่ยนไป อากาศแปรปรวน",,,,,,,,,
20,ในขั้นตอนการผลิตสินค้าและบริการสามารถลดปริมาณการใช้ทรัพยากรได้โดยวิธีใด,การใช้ทรัพยากรที่มีคุณภาพทำให้ลดการสิ้นเปลือง,ใช้เทคโนโลยีที่ทันสมัยในการผลิตสินค้าและบริการต่างๆ,การผลิตสินค้าโดยใช้ภูมิปัญญาท้องถิ่น,การผลิตสินค้าด้วยแรงงานของคนและสัตว์,2," ใช้เทคโนโลยีที่ทันสมัยในการผลิตสินค้าและบริการต่างๆ เพราะการใช้เทคโนโลยีที่ทันสมัย ในการผลิต
สินค้าและบริการต่างๆ จะช่วยลดปริมาณการใช้ทรัพยากรอย่างมาก","ตอบ 2.  ใช้เทคโนโลยีที่ทันสมัยในการผลิตสินค้าและบริการต่างๆ เพราะการใช้เทคโนโลยีที่ทันสมัย ในการผลิต
สินค้าและบริการต่างๆ จะช่วยลดปริมาณการใช้ทรัพยากรอย่างมาก",,,,,,,,,
21,การสร้างจิตสำนึกให้คนในชาติรู้คุณค่าของทรัพยากรโดยการปลูกฝังค่านิยมด้านความประหยัด ควรเริ่มต้นที่บุคคลใด,เด็กและเยาวชน,พ่อแม่ผู้ปกครอง,ข้าราชการและผู้บริหารประเทศ,พ่อค้านักธุรกิจ,1,"  เด็กและเยาวชน  เพราะการสร้างจิตสำนึกในด้านสิ่งแวดล้อมให้คนในชาติรู้ถึงคุณค่าของทรัพยากรควรที่
จะมีการปลูกฝังในด้านการประหยัด โดยเริ่มต้นที่เด็กและเยาวชนซึ่งเป็นคนรุ่นใหม่ แล้วขยายไปในบุคคลอื่นในสังคมต่อไป","ตอบ 1.   เด็กและเยาวชน  เพราะการสร้างจิตสำนึกในด้านสิ่งแวดล้อมให้คนในชาติรู้ถึงคุณค่าของทรัพยากรควรที่
จะมีการปลูกฝังในด้านการประหยัด โดยเริ่มต้นที่เด็กและเยาวชนซึ่งเป็นคนรุ่นใหม่ แล้วขยายไปในบุคคลอื่นในสังคมต่อไป",,,,,,,,,
22,ทรัพยากรใดที่มีประโยชน์ในการช่วยสร้างความสมดุลให้แก่ธรรมชาติมากที่สุด,แร่ธาตุ,ป่าไม้,สัตว์ตามธรรมชาติ,ดินและน้ำ,2,"ป่าไม้  เพราะทรัพยากระรรมชาติประเภทป่าไม้มีความสำคัญ ช่วยสร้างความสมดุลให้แก่ธรรมชาติมากที่สุด
โดยช่วยลดภาวะอากาศเป็นพิษ ภูมิอากาศไม่แปรปรวน ช่วยบรรเทาปัญหาน้ำท่วมขังเป็นต้น","ตอบ 2. ป่าไม้  เพราะทรัพยากระรรมชาติประเภทป่าไม้มีความสำคัญ ช่วยสร้างความสมดุลให้แก่ธรรมชาติมากที่สุด
โดยช่วยลดภาวะอากาศเป็นพิษ ภูมิอากาศไม่แปรปรวน ช่วยบรรเทาปัญหาน้ำท่วมขังเป็นต้น",,,,,,,,,
23,หน่วยครัวเรือนในทางเศรษฐศาสตร์ มีลักษณะอย่างไร,เป็นหน่วยเศรษฐกิจที่มีความสำคัญมากที่สุด,เป็นหน่วยธุรกิจที่มีขนาดใหญ่มากที่สุด,เป็นหน่วยเศรษฐกิจที่มีขนาดเล็กที่สุด,เป็นหน่วยเศรษฐกิจที่ทำหน้าที่ผลิตสินค้าและบริการอย่างเดียว,1,"เป็นหน่วยเศรษฐกิจที่มีความสำคัญมากที่สุด เพราะหน่วยครัวเรือนนั้นเป็นหน่วยเศรษฐกิจที่มี
ขนาดเล็กที่สุดซึ่งทำหน้าที่เป็นทั้งผู้ผลิตสินค้าและเป็นผู้บริการ รวมทั้งเป็นผู้บริโภคด้วย และต้องการค่าจ้างเป็นสิ่งตอบแทนสูง","ตอบ 1. เป็นหน่วยเศรษฐกิจที่มีความสำคัญมากที่สุด เพราะหน่วยครัวเรือนนั้นเป็นหน่วยเศรษฐกิจที่มี
ขนาดเล็กที่สุดซึ่งทำหน้าที่เป็นทั้งผู้ผลิตสินค้าและเป็นผู้บริการ รวมทั้งเป็นผู้บริโภคด้วย และต้องการค่าจ้างเป็นสิ่งตอบแทนสูง",,,,,,,,,
24,การจัดเก็บภาษีในลักษณะใดที่จัดเป็นภาษีทางตรงที่มีความสำคัญมากที่สุด,ภาษีมรดก,ภาษีรายได้บุคคลธรรมดา,ภาษีมูลค่าเพิ่ม,ภาษีสรรพสามิต,2,"ภาษีรายได้บุคคลธรรมดา เพราะเป็นภาษีที่รัฐบาลเรียกเก็บจากประชาชนโดยตรง โดยภาษีที่สำคัญ คือภาษีราย
ได้บุคคลธรรมดา","ตอบ 2. ภาษีรายได้บุคคลธรรมดา เพราะเป็นภาษีที่รัฐบาลเรียกเก็บจากประชาชนโดยตรง โดยภาษีที่สำคัญ คือภาษีราย
ได้บุคคลธรรมดา",,,,,,,,,
25,วิธีการศึกษาทางประวัติศาสตร์ หมายถึง,การศึกษาโดยอาศัยการทำนายของโหร,การรวบรวมหลักฐานอย่างรอบคอบ,การศึกษาโดยไม่ต้องหาหลักฐานใดๆ,การศึกษาโดยผู้เชี่ยวชาญเท่านั้น,2," การรวบรวมหลักฐานอย่างรอบคอบ เพราะวิธีการศึกษาทางประวัติศาสตร์ หมายถึง วิธีการที่รวบรวมหลักฐาน
ต่างๆ ทางประวัติศาสตร์แล้วนำมาพิจารณาอย่างละเอียดรอบคอบทั้งมีขั้นตอนในการศึกษาที่ชัดเจน เป็นที่ยอมรับของบุคคลทั่วไป ประกอบด้วย 5 ขั้นตอนที่สำคัญ","ตอบ 2.  การรวบรวมหลักฐานอย่างรอบคอบ เพราะวิธีการศึกษาทางประวัติศาสตร์ หมายถึง วิธีการที่รวบรวมหลักฐาน
ต่างๆ ทางประวัติศาสตร์แล้วนำมาพิจารณาอย่างละเอียดรอบคอบทั้งมีขั้นตอนในการศึกษาที่ชัดเจน เป็นที่ยอมรับของบุคคลทั่วไป ประกอบด้วย 5 ขั้นตอนที่สำคัญ",,,,,,,,,
26,หลักฐานใดที่จัดเป็นหลักฐานชั้นรองในการศึกษาทางประวัติศาสตร์,บันทึกเหตุการณ์ของคนในยุคนั้น,นิทานที่กล่าวถึงเหตุการณ์นั้น,โบราณวัตถุที่เกิดในยุคนั้น,โบราณสถานที่เกิดร่วมสมัยกับเหตุการณ์นั้น,2," นิทานที่กล่าวถึงเหตุการณ์นั้น เพราะหลักฐานทางประวัติศาสตร์ที่สำคัญ  เช่น นิทานพื้นบ้านที่กล่าวถึงเหตุการณ์ทางประวัติศาสตร์นั้น ภายหลังจากที่เหตุการณ์นั้นสิ้นสุดลงจะปะปนไปด้วยอิทธิ์ฤทธิ์ปาฏิหาริย์ต่าง ๆ
มากมาย จึงเป็นหลักฐานนที่น่าเชื่อถือน้อยกว่าหลักฐานชั้นต้น","ตอบ 2.  นิทานที่กล่าวถึงเหตุการณ์นั้น เพราะหลักฐานทางประวัติศาสตร์ที่สำคัญ  เช่น นิทานพื้นบ้านที่กล่าวถึงเหตุการณ์ทางประวัติศาสตร์นั้น ภายหลังจากที่เหตุการณ์นั้นสิ้นสุดลงจะปะปนไปด้วยอิทธิ์ฤทธิ์ปาฏิหาริย์ต่าง ๆ
มากมาย จึงเป็นหลักฐานนที่น่าเชื่อถือน้อยกว่าหลักฐานชั้นต้น",,,,,,,,,
27,"""กฏหมายตราสามดวง"" ที่ประกาศใช้ในกรุงรัตนโกสินทร์ตรงกับรัชกาลใด",รัชกาลที่ 1,รัชกาลที่ 2,รัชกาลที่ 3,รัชกาลที่ 4,1,"รัชการที่ 1 เพราะเป็นมวลกฏหมายที่ประกาศใช้ในสมัยรัตนโกสินทร์ ในสมัยรัชกาลที่ 1  อันเป็นผลเนื่อง
มากจากกกหมายที่ใช้มาตั้งแต่สมัยอยุธยามีความล้าสมัย ซึ่งไม่เหมาะสมกับสภาพบ้านเมืองที่มีการเปลี่ยนแปลง","ตอบ 1. รัชการที่ 1 เพราะเป็นมวลกฏหมายที่ประกาศใช้ในสมัยรัตนโกสินทร์ ในสมัยรัชกาลที่ 1  อันเป็นผลเนื่อง
มากจากกกหมายที่ใช้มาตั้งแต่สมัยอยุธยามีความล้าสมัย ซึ่งไม่เหมาะสมกับสภาพบ้านเมืองที่มีการเปลี่ยนแปลง",,,,,,,,,
28,ในสมัยรัชกาลที่ 4 แห่งกรุงรัตนโกสินทร์ ประเทศไทยประสบกับปัญหาในด้านใดสำคัญที่สุด,ปัญหาความยากจนของประชาชน,ปัญหาการเกิดรคระบาด,ปัญหาภัยคุกคามจากชาติตะวันตก,ปัญหาความไม่สงบจากการเกิดโจรผู้ร้ายชุกชุม,3,"  ปัญหาภัยคุกคามจากชาติตะวันตก  เพราะเหตุการณ์สำคัญที่เกิดขึ้นในสมัยรัชการที่ 4 คือมีภัยคุกคามจาก
ชาติตะวันตก  รัชการที่ 4  จึงทรงคำเนินการผูกมิตรกับชาติตะวันตก เพื่อลดแรงกดดันของต่างชาติที่มีต่อไทย","ตอบ 3.   ปัญหาภัยคุกคามจากชาติตะวันตก  เพราะเหตุการณ์สำคัญที่เกิดขึ้นในสมัยรัชการที่ 4 คือมีภัยคุกคามจาก
ชาติตะวันตก  รัชการที่ 4  จึงทรงคำเนินการผูกมิตรกับชาติตะวันตก เพื่อลดแรงกดดันของต่างชาติที่มีต่อไทย",,,,,,,,,
29,รูปแบบการปกครองที่ประเทศในภูมิภาคเอเชียตะวันออกเฉียงใต้ได้รับแบบอย่างมาจากประเทศอินเดียคือรูปแบบใด,การปกครองในระบอบประชาธิปไตย,การปกครองแบบเทวราชา,การปกครองแบบธรรมราชา,การปกครองแบบพ่อปกครองลูก,2,"  การปกครองแบบเทวราชา   เพราะเป็นรูปแบบที่ยกย่องพระมหากษัตริย์เป็นสมมติเทพ  หรือเทวดามีอำนาจ
เด็จขาด  ชาวเอเชียตะวันออกเฉียงใต้รับอารยธรรมมาจากอินเดียผ่านทางอาณาจักรฟูนันที่เป็นอาณาจักรที่มีอายุเก่าแก่ที่สุด","ตอบ 2.   การปกครองแบบเทวราชา   เพราะเป็นรูปแบบที่ยกย่องพระมหากษัตริย์เป็นสมมติเทพ  หรือเทวดามีอำนาจ
เด็จขาด  ชาวเอเชียตะวันออกเฉียงใต้รับอารยธรรมมาจากอินเดียผ่านทางอาณาจักรฟูนันที่เป็นอาณาจักรที่มีอายุเก่าแก่ที่สุด",,,,,,,,,
30,ประชาชนในภูมิภาคเอเชียตะวันออกเฉียงใต้ส่วนใหญ่นับถือศาสนาใด,ศาสนาอิสลาม,ศาสนาชิกข์,ศาสนาพุทธ,ศาสนาคริสต์,1,"  ศาสนาอิสลาม  เพราะประชากรส่วนใหญ่ในภูมิภาคเอเชียตะวันออกเฉียงให้นับถือศาสนาอิสลามโดย
เฉพาะประเทศอินโดนีเชีย เป็นประเทศที่มีประชากรนับถือศาสนาอิสลามมากที่สุดในโลก","ตอบ 1.   ศาสนาอิสลาม  เพราะประชากรส่วนใหญ่ในภูมิภาคเอเชียตะวันออกเฉียงให้นับถือศาสนาอิสลามโดย
เฉพาะประเทศอินโดนีเชีย เป็นประเทศที่มีประชากรนับถือศาสนาอิสลามมากที่สุดในโลก",,,,,,,,,
